Processes: 381 total, 3 running, 378 sleeping, 1640 threads 
2024/10/28 13:36:50
Load Avg: 2.34, 2.42, 2.33 
CPU usage: 11.73% user, 17.33% sys, 70.93% idle 
SharedLibs: 307M resident, 47M data, 18M linkedit.
MemRegions: 252970 total, 1806M resident, 81M private, 524M shared.
PhysMem: 8082M used (2128M wired), 108M unused.
VM: 27T vsize, 3099M framework vsize, 107178992(0) swapins, 109325453(0) swapouts.
Networks: packets: 79133800/100G in, 39644768/12G out.
Disks: 33642606/1167G read, 15164375/944G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
99187  top              0.0  00:00.47 1/1   0   15     3156K 0B    0B    99186 99186 running  *0[1]       0.00000 0.00000    0   1527      99      536323    268161    1712      271005     97         3       0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
99186  bash             0.0  00:00.00 1     0   11     564K  0B    0B    99186 96388 sleeping *0[1]       0.00000 0.00000    502 533       135     33        16        219       59         8          1       0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
99185  mdworker_shared  0.0  00:00.04 4     2   61     1400K 0B    0B    99185 1     sleeping *0[1]       0.00000 0.00000    502 3794      183     574       248       983       601        116        0       0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
99184  mdworker_shared  0.0  00:00.04 4     2   61     1376K 0B    0B    99184 1     sleeping *0[1]       0.00000 0.00000    502 3786      183     582       252       988       600        109        0       0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
99182  MTLCompilerServi 0.0  00:00.08 2     1   32     7584K 0B    0B    99182 1     sleeping *0[3]       0.00000 0.00000    502 5087      401     135       48        716       304        118        62      1        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
98652  Opera Helper (Re 0.0  00:00.10 11    1   90     16M   0B    0B    1319  1319  sleeping *0[2]       0.00000 0.00000    502 13019     2488    273       209       2182      616        108        22      12       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
98647  mdworker_shared  0.0  00:00.24 4     1   61     1484K 0B    0B    98647 1     sleeping *0[1]       0.00000 0.00000    502 15588     184     912       368       5720      2286       745        0       0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
98621  ImageIOXPCServic 0.0  00:00.05 2     1   26     3756K 0B    0B    98621 1     sleeping *0[23]      0.00000 0.00000    502 2085      233     181       89        754       381        201        22      1        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
98620  reversetemplated 0.0  00:00.25 2     1   50     3616K 0B    0B    98620 1     sleeping  0[0]       0.00000 0.00000    502 4851      199     147       45        1964      1154       1067       377     0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
98619  CarbonComponentS 0.0  00:00.10 2     1   40     1156K 0B    0B    98619 1     sleeping *0[1]       0.00000 0.00000    502 2433      129     149       46        6950      528        527        3       0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
98618  AudioComponentRe 0.0  00:00.05 2     1   50     932K  28K   0B    98618 1     sleeping *0[1]       0.00000 0.00000    502 2145      125     143       50        1055      330        208        6       0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
98617  com.apple.access 0.0  00:00.03 2     1   33     716K  0B    0B    98617 1     sleeping *0[2]       0.00000 0.00000    502 1569      104     129       48        626       293        153        0       0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
98616  com.apple.WebKit 0.0  00:00.23 3     1   68     6052K 0B    0B    98616 1     sleeping  0[3]       0.00000 0.00000    502 7445      398     4639      2178      6361      5189       2022       262     11       0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
98615  translationd     0.0  00:00.04 2     1   46     1200K 0B    0B    98615 1     sleeping *0[1]       0.00000 0.00000    502 2964      152     143       46        1114      313        214        79      0        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
98614  SafariBookmarksS 0.0  00:00.27 3     1   63     2580K 184K  8192B 98614 1     sleeping *0[1]       0.00000 0.00000    502 6251      263     334       155       4366      1356       1800       590     4        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
97234  findmydevice-use 0.0  00:00.06 2     1   45     1184K 0B    744K  97234 1     sleeping *0[1]       0.00000 0.00000    502 2639      158     151       48        882       362        144        16      2        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
97199  XProtectPluginSe 0.0  00:01.49 3     2   37     2892K 0B    2824K 97199 1     sleeping  0[0]       0.00000 0.00000    0   1982      158     595       206       85890     1417       837        0       0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
97198  XProtect         0.0  00:00.02 2     1   38     1128K 0B    1104K 97198 1     sleeping  0[0]       0.00000 0.00000    0   1086      133     109       51        606       306        104        0       0        0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
97195  XProtectPluginSe 0.0  00:01.24 3     2   42     2864K 0B    2808K 97195 1     sleeping  0[0]       0.00000 0.00000    502 2009      162     381       124       43262     892        1350       42      1        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
97194  XProtect         0.0  00:00.03 2     1   33     1252K 0B    1236K 97194 1     sleeping  0[0]       0.00000 0.00000    502 1244      136     136       50        623       335        235        17      2        0.0   0      0      dimahlynchak           N/A    N/A   N/A   N/A   N/A   N/A  
